,date,datetime,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,moonphase
32,2005-02-02,17:00:00,39.8,38.1,46.4,20.9,0.0,0.0,0.0,0.0,,,3.0,160.0,1023.4,9.9,50.0,,,,,Partially cloudy,partly-cloudy-day,0.75
33,2005-02-03,17:00:00,47.9,46.8,35.4,21.8,0.0,0.0,0.0,0.0,,,3.6,160.0,1026.1,9.9,50.0,,,,,Partially cloudy,partly-cloudy-day,0.82
34,2005-02-04,17:00:00,51.2,51.2,35.9,25.1,0.0,0.0,0.0,0.0,,,4.4,150.0,1016.3,9.9,30.0,,,,,Partially cloudy,partly-cloudy-day,0.86
35,2005-02-05,17:00:00,48.8,45.8,27.8,17.0,0.0,0.0,0.0,0.0,,,7.0,90.0,1007.8,9.9,50.0,,,,,Partially cloudy,partly-cloudy-day,0.89
36,2005-02-06,17:00:00,29.0,29.0,71.4,20.9,0.0,0.0,0.0,0.0,,,2.9,100.0,1014.9,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.93
37,2005-02-07,17:00:00,29.9,21.8,75.4,23.1,0.0,0.0,0.0,0.0,,,8.8,330.0,1009.5,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.96
38,2005-02-08,17:00:00,29.0,22.3,66.1,19.1,0.0,0.0,0.0,0.0,,,6.5,90.0,1015.6,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.0
39,2005-02-09,17:00:00,42.2,36.1,17.6,1.1,0.0,0.0,0.0,0.0,,,10.6,240.0,1020.3,9.9,0.0,,,,,Clear,clear-day,0.03
40,2005-02-10,17:00:00,43.1,40.6,19.2,3.8,0.0,0.0,0.0,0.0,,,4.4,100.0,1023.7,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.06
41,2005-02-11,17:00:00,47.9,46.5,22.2,11.0,0.0,0.0,0.0,0.0,,,4.0,50.0,1016.9,9.9,100.0,,,,,Overcast,cloudy,0.09
